 1 )31.44
 2 )76.95
 3 )24.44
 4 )36.81
 5 )51.88
 6 )27.49
 7 )57.56
 8 )47.77
 9 )50.61
10 )14.28
11 )68.48
12 )43.74
13 )13.02
14 )29.41
15 )0.36
16 )91.61
17 )67.39
18 )94.22
19 )18.43
20 )12.13
21 )28.39
22 )97.14
23 )89.04
24 )93.11
25 )62.46
26 )43.21
27 )70.15
28 )94.68
29 )56.3
30 )98.32
31 )89.71
32 )30.55
33 )48.09
34 )17.66
35 )16.9
36 )85.75
37 )26.45
38 )44.8
39 )85.25
40 )47.21
41 )47.52
42 )9.51
43 )20.9
44 )95.05
45 )16.33
46 )74.69
47 )88.83
48 )3.69
49 )85.13
50 )8.14
51 )31.78
52 )64.1
53 )40.51
54 )53.28
55 )36.01
56 )74.15
57 )47.75
58 )58.75
59 )28.68
60 )69.45
61 )96.53
62 )61.53
63 )34.12
64 )23.1
65 )45.82
66 )49.93
67 )0.46
