  0) 31.44
  1) 76.95
  2) 24.44
  3) 36.81
  4) 51.88
  5) 27.49
  6) 57.56
  7) 47.77
  8) 50.61
  9) 14.28
 10) 68.48
 11) 43.74
 12) 13.02
 13) 29.41
 14) 0.36
 15) 91.61
 16) 67.39
 17) 94.22
 18) 18.43
 19) 12.13
 20) 28.39
 21) 97.14
 22) 89.04
 23) 93.11
 24) 62.46
 25) 43.21
 26) 70.15
 27) 94.68
 28) 56.3
 29) 98.32
 30) 89.71
 31) 30.55
 32) 48.09
 33) 17.66
 34) 16.9
 35) 85.75
 36) 26.45
 37) 44.8
 38) 85.25
 39) 47.21
 40) 47.52
 41) 9.51
 42) 20.9
 43) 95.05
 44) 16.33
 45) 74.69
 46) 88.83
 47) 3.69
 48) 85.13
 49) 8.14
 50) 31.78
 51) 64.1
 52) 40.51
 53) 53.28
 54) 36.01
 55) 74.15
 56) 47.75
 57) 58.75
 58) 28.68
 59) 69.45
 60) 96.53
 61) 61.53
 62) 34.12
 63) 23.1
 64) 45.82
 65) 49.93
 66) 0.46
 67) 47.11
 68) 37.74
 69) 47.32
 70) 18.45
 71) 59.03
 72) 45.1
 73) 18.01
 74) 78.74
 75) 46.26
 76) 10.31
 77) 41.05
 78) 0.46
 79) 41.65
 80) 65.98
 81) 61.02
 82) 85.2
 83) 8.45
 84) 81.48
 85) 67.17
 86) 72.6
 87) 46.54
 88) 6.19
 89) 3.66
 90) 50.96
 91) 5.65
 92) 8.41
 93) 44.67
 94) 86.27
 95) 93.79
 96) 10.24
 97) 28.5
 98) 79.58
 99) 20.38
