  0) 0.36
  1) 0.46
  2) 0.46
  3) 3.66
  4) 3.69
  5) 5.65
  6) 6.19
  7) 8.14
  8) 8.41
  9) 8.45
 10) 9.51
 11) 10.24
 12) 10.31
 13) 12.13
 14) 13.02
 15) 14.28
 16) 16.33
 17) 16.9
 18) 17.66
 19) 18.01
 20) 18.43
 21) 18.45
 22) 20.38
 23) 20.9
 24) 23.1
 25) 24.44
 26) 26.45
 27) 27.49
 28) 28.39
 29) 28.5
 30) 28.68
 31) 29.41
 32) 30.55
 33) 31.44
 34) 31.78
 35) 34.12
 36) 36.01
 37) 36.81
 38) 37.74
 39) 40.51
 40) 41.05
 41) 41.65
 42) 43.21
 43) 43.74
 44) 44.67
 45) 44.8
 46) 45.1
 47) 45.82
 48) 46.26
 49) 46.54
 50) 47.11
 51) 47.21
 52) 47.32
 53) 47.52
 54) 47.75
 55) 47.77
 56) 48.09
 57) 49.93
 58) 50.61
 59) 50.96
 60) 51.88
 61) 53.28
 62) 56.3
 63) 57.56
 64) 58.75
 65) 59.03
 66) 61.02
 67) 61.53
 68) 62.46
 69) 64.1
 70) 65.98
 71) 67.17
 72) 67.39
 73) 68.48
 74) 69.45
 75) 70.15
 76) 72.6
 77) 74.15
 78) 74.69
 79) 76.95
 80) 78.74
 81) 79.58
 82) 81.48
 83) 85.13
 84) 85.2
 85) 85.25
 86) 85.75
 87) 86.27
 88) 88.83
 89) 89.04
 90) 89.71
 91) 91.61
 92) 93.11
 93) 93.79
 94) 94.22
 95) 94.68
 96) 95.05
 97) 96.53
 98) 97.14
 99) 98.32
